characterID,character_name,movieID,movie_title,gender,position_in_credits
u1,BRUCE,m0,10 things i hate about you,M,?
u8,MISS PERKY,m0,10 things i hate about you,F,?
u10,SHARON,m0,10 things i hate about you,?,?
u12,ALONSO,m1,1492: conquest of paradise,M,?
u13,AROJAZ,m1,1492: conquest of paradise,?,?
u14,BEATRIX,m1,1492: conquest of paradise,F,?
u15,BOBADILLA,m1,1492: conquest of paradise,M,?
u17,FERNANDO,m1,1492: conquest of paradise,F,?
u18,ISABEL,m1,1492: conquest of paradise,M,?
u20,MENDEZ,m1,1492: conquest of paradise,M,?
u21,MOXICA,m1,1492: conquest of paradise,M,?
u22,PINZON,m1,1492: conquest of paradise,M,?
u23,SAILOR,m1,1492: conquest of paradise,?,?
u24,SANCHEZ,m1,1492: conquest of paradise,M,?
u25,UTAPAN,m1,1492: conquest of paradise,?,?
u28,DUFFY,m2,15 minutes,M,?
u31,HAWKINS,m2,15 minutes,M,?
u32,HONEY,m2,15 minutes,F,?
u33,IMMIGRATION OFFICER,m2,15 minutes,M,?
u36,LEON,m2,15 minutes,M,?
u38,MAX,m2,15 minutes,?,?
u39,MILOS,m2,15 minutes,M,?
u40,MUGGER,m2,15 minutes,M,?
u44,ROSE,m2,15 minutes,F,?
u45,SECONDARY OFFICER,m2,15 minutes,M,?
u47,TOMMY,m2,15 minutes,M,?
u48,VENDOR,m2,15 minutes,M,?
u49,B20,m3,2001: a space odyssey,?,?
u51,C12,m3,2001: a space odyssey,?,?
u52,CHILD,m3,2001: a space odyssey,?,?
u53,CO-PILOT,m3,2001: a space odyssey,?,?
u55,FLOYD,m3,2001: a space odyssey,M,?
u57,MICHAELS,m3,2001: a space odyssey,M,?
u58,MILLER,m3,2001: a space odyssey,M,?
u59,PILOT,m3,2001: a space odyssey,?,?
u61,SMYSLOV,m3,2001: a space odyssey,M,?
u62,ATTENDANT,m4,48 hrs.,M,?
u63,BARTENDER,m4,48 hrs.,M,?
u64,BILLY,m4,48 hrs.,M,?
u65,CANDY,m4,48 hrs.,F,?
u66,CASEY,m4,48 hrs.,F,?
u69,GANZ,m4,48 hrs.,M,?
u70,HADEN,m4,48 hrs.,M,?
u72,HENRY,m4,48 hrs.,M,?
u73,KEHOE,m4,48 hrs.,M,?
u74,LISA,m4,48 hrs.,F,?
u75,LUTHER,m4,48 hrs.,M,?
u76,SOSNA,m4,48 hrs.,?,?
u77,YOUNG COP,m4,48 hrs.,M,?
u80,DIVA,m5,the fifth element,F,?
u81,FINGER,m5,the fifth element,?,?
u82,GIRL,m5,the fifth element,F,?
u83,KOMMANDER,m5,the fifth element,?,?
u86,LOC RHOD,m5,the fifth element,?,?
u88,MOTHER,m5,the fifth element,F,?
u90,MUNRO,m5,the fifth element,M,?
u91,PRESIDENT,m5,the fifth element,M,?
u93,PROFESSOR,m5,the fifth element,M,?
u94,SECRETARY,m5,the fifth element,F,?
u95,SHADOW,m5,the fifth element,?,?
u96,STAEDERT,m5,the fifth element,M,?
u97,THAI,m5,the fifth element,?,?
u98,VOICE,m5,the fifth element,?,?
u99,ZORG,m5,the fifth element,M,?
u101,ANGRY DEALER,m6,8mm,M,?
u102,DINO,m6,8mm,M,?
u104,DIRECTOR,m6,8mm,M,?
u107,MALE VOICE,m6,8mm,M,?
u111,NUN,m6,8mm,F,?
u112,POLITICIAN,m6,8mm,?,?
u113,SALESPERSON,m6,8mm,?,?
u117,DEBBIE,m7,a nightmare on elm street 4: the dream master,F,?
u118,ELAINE,m7,a nightmare on elm street 4: the dream master,F,?
u119,KRISTEN,m7,a nightmare on elm street 4: the dream master,F,?
u121,RICK,m7,a nightmare on elm street 4: the dream master,M,?
u122,SHEILA,m7,a nightmare on elm street 4: the dream master,F,?
u124,ALICE'S DAD,m8,a nightmare on elm street: the dream child,M,?
u125,DAN,m8,a nightmare on elm street: the dream child,M,?
u126,GRETA,m8,a nightmare on elm street: the dream child,?,?
u127,JACOB,m8,a nightmare on elm street: the dream child,?,?
u129,MRS. JORDAN,m8,a nightmare on elm street: the dream child,?,?
u133,GRIFF,m9,the atomic submarine,M,?
u134,KENT,m9,the atomic submarine,M,?
u136,SAUCER VOICE,m9,the atomic submarine,?,?
u137,SIR IAN,m9,the atomic submarine,?,?
u138,WENDOVER,m9,the atomic submarine,M,?
u140,CHICK,m10,affliction,M,?
u141,HAND,m10,affliction,M,?
u145,LILLIAN,m10,affliction,F,?
u146,LUGENE,m10,affliction,F,?
u148,MEL GORDON,m10,affliction,?,?
u149,MRS. GORDON,m10,affliction,F,?
u150,NICK,m10,affliction,M,?
u151,POP,m10,affliction,?,?
u155,ALICE,m11,air force one,F,?
u156,CERALLOS,m11,air force one,?,?
u157,CHIEF MECHANIC,m11,air force one,M,?
u158,COL. CARLTON,m11,air force one,M,?
u159,DEAN,m11,air force one,M,?
u160,DOHERTY,m11,air force one,M,?
u162,GIBBS,m11,air force one,M,?
u163,IRAQI SOLDIER,m11,air force one,?,?
u164,KC-135 PILOT,m11,air force one,M,?
u165,KC-LO PILOT,m11,air force one,M,?
u166,KORSHUNOV,m11,air force one,M,?
u167,LEE,m11,air force one,M,?
u170,MITCHELL,m11,air force one,M,?
u171,ROSE,m11,air force one,F,?
u172,SECRET SERVICE AGENT,m11,air force one,M,?
u173,SECRETARY,m11,air force one,?,?
u175,SWITCHBOARD,m11,air force one,F,?
u176,TOWER,m11,air force one,?,?
u177,V.P. CHANDLER,m11,air force one,?,?
u178,COMMISSIONER,m12,airplane ii: the sequel,M,?
u179,DUNN,m12,airplane ii: the sequel,M,?
u181,JIMMY,m12,airplane ii: the sequel,?,?
u182,JOE,m12,airplane ii: the sequel,M,?
u183,JOHN,m12,airplane ii: the sequel,M,?
u184,KRUGER,m12,airplane ii: the sequel,M,?
u185,MARY,m12,airplane ii: the sequel,F,?
u186,OVEUR,m12,airplane ii: the sequel,M,?
u187,PORTER,m12,airplane ii: the sequel,?,?
u188,RECEPTIONIST,m12,airplane ii: the sequel,?,?
u189,ROK,m12,airplane ii: the sequel,?,?
u190,RUMACK,m12,airplane ii: the sequel,M,?
u192,STELLA,m12,airplane ii: the sequel,F,?
u194,WIFE,m12,airplane ii: the sequel,F,?
u195,BERNICE,m13,airplane!,?,?
u196,CAREY,m13,airplane!,M,?
