,characterID,character_name,movieID,movie_title,gender,position_in_credits
0,u1,BRUCE,m0,10 things i hate about you,?,?
2,u8,MISS PERKY,m0,10 things i hate about you,?,?
3,u10,SHARON,m0,10 things i hate about you,?,?
4,u12,ALONSO,m1,1492: conquest of paradise,?,?
5,u13,AROJAZ,m1,1492: conquest of paradise,?,?
6,u14,BEATRIX,m1,1492: conquest of paradise,?,?
7,u15,BOBADILLA,m1,1492: conquest of paradise,?,?
8,u17,FERNANDO,m1,1492: conquest of paradise,?,?
9,u18,ISABEL,m1,1492: conquest of paradise,?,?
10,u20,MENDEZ,m1,1492: conquest of paradise,?,?
11,u21,MOXICA,m1,1492: conquest of paradise,?,?
12,u22,PINZON,m1,1492: conquest of paradise,?,?
13,u23,SAILOR,m1,1492: conquest of paradise,?,?
14,u24,SANCHEZ,m1,1492: conquest of paradise,?,?
15,u25,UTAPAN,m1,1492: conquest of paradise,?,?
16,u28,DUFFY,m2,15 minutes,?,?
17,u31,HAWKINS,m2,15 minutes,?,?
18,u32,HONEY,m2,15 minutes,?,?
19,u33,IMMIGRATION OFFICER,m2,15 minutes,?,?
20,u36,LEON,m2,15 minutes,?,?
22,u38,MAX,m2,15 minutes,?,?
23,u39,MILOS,m2,15 minutes,?,?
24,u40,MUGGER,m2,15 minutes,?,?
26,u44,ROSE,m2,15 minutes,?,?
27,u45,SECONDARY OFFICER,m2,15 minutes,?,?
29,u47,TOMMY,m2,15 minutes,?,?
30,u48,VENDOR,m2,15 minutes,?,?
31,u49,B20,m3,2001: a space odyssey,?,?
32,u51,C12,m3,2001: a space odyssey,?,?
33,u52,CHILD,m3,2001: a space odyssey,?,?
34,u53,CO-PILOT,m3,2001: a space odyssey,?,?
36,u55,FLOYD,m3,2001: a space odyssey,?,?
37,u57,MICHAELS,m3,2001: a space odyssey,?,?
38,u58,MILLER,m3,2001: a space odyssey,?,?
39,u59,PILOT,m3,2001: a space odyssey,?,?
40,u61,SMYSLOV,m3,2001: a space odyssey,?,?
41,u62,ATTENDANT,m4,48 hrs.,?,?
42,u63,BARTENDER,m4,48 hrs.,?,?
43,u64,BILLY,m4,48 hrs.,?,?
44,u65,CANDY,m4,48 hrs.,?,?
45,u66,CASEY,m4,48 hrs.,?,?
46,u69,GANZ,m4,48 hrs.,?,?
47,u70,HADEN,m4,48 hrs.,?,?
48,u72,HENRY,m4,48 hrs.,?,?
49,u73,KEHOE,m4,48 hrs.,?,?
