,movie_title,cast_id,character,credit_id,gender,id,name,order,title
0,10 things i hate about you,2,PATRICK VERONA,52fe43e6c3a36847f80772cb,M,1810,Heath Ledger,0,10 things i hate about you
1,10 things i hate about you,3,"KATARINA ""KAT"" STRATFORD",52fe43e6c3a36847f80772cf,F,12041,Julia Stiles,1,10 things i hate about you
2,10 things i hate about you,17,CAMERON JAMES,52fe43e6c3a36847f8077321,M,24045,Joseph Gordon-Levitt,2,10 things i hate about you
3,10 things i hate about you,18,BIANCA STRATFORD,52fe43e6c3a36847f8077325,F,40978,Larisa Oleynik,3,10 things i hate about you
4,10 things i hate about you,19,MICHAEL ECKMAN,52fe43e6c3a36847f8077329,M,38582,David Krumholtz,4,10 things i hate about you
5,10 things i hate about you,20,JOEY DONNER,52fe43e6c3a36847f807732d,M,40979,Andrew Keegan,5,10 things i hate about you
6,10 things i hate about you,21,MANDELLA,52fe43e6c3a36847f8077331,F,40980,Susan May Pratt,6,10 things i hate about you
7,10 things i hate about you,22,CHASTITY,52fe43e6c3a36847f8077335,F,17773,Gabrielle Union,7,10 things i hate about you
8,10 things i hate about you,23,WALTER STRATFORD,52fe43e6c3a36847f8077339,M,1211,Larry Miller,8,10 things i hate about you
9,10 things i hate about you,24,MR. MORGAN,52fe43e6c3a36847f807733d,M,15028,Daryl Mitchell,9,10 things i hate about you
10,10 things i hate about you,25,MS. PERKY,52fe43e6c3a36847f8077341,F,19,Allison Janney,10,10 things i hate about you
11,10 things i hate about you,26,MR. CHAPIN,52fe43e6c3a36847f8077345,M,24521,David Leisure,11,10 things i hate about you
12,10 things i hate about you,28,SCRUVY,52fe43e6c3a36847f807734d,M,40982,Greg Jackson,12,10 things i hate about you
13,10 things i hate about you,29,DEREK,54f92cf1c3a36878e1000ba1,M,1144823,Terence Heuston,14,10 things i hate about you
14,10 things i hate about you,31,AUDIO VISUAL GUY,54f932ed925141439f000a6e,M,1435472,Eric Riedmann,16,10 things i hate about you
15,10 things i hate about you,36,COFFEE GIRL,54f935e9c3a3683c5500077a,F,69616,Bianca Kajlich,21,10 things i hate about you
16,15 minutes,3,DETECTIVE EDDIE FLEMMING,52fe4369c3a36847f8052597,M,380,Robert De Niro,0,15 minutes
17,15 minutes,4,ROSE HEARN,52fe4369c3a36847f805259b,F,6885,Charlize Theron,1,15 minutes
18,15 minutes,5,JORDY WARSAW,52fe4369c3a36847f805259f,M,12833,Edward Burns,2,15 minutes
19,15 minutes,6,ROBERT HAWKINS,52fe4369c3a36847f80525a3,M,7090,Kelsey Grammer,3,15 minutes
20,15 minutes,7,DETECTIVE LEON JACKSON,52fe4369c3a36847f80525a7,M,822,Avery Brooks,4,15 minutes
21,15 minutes,8,DAHPNE HANDLOVA,52fe4369c3a36847f80525ab,F,21657,Vera Farmiga,5,15 minutes
22,15 minutes,18,CASSANDRA,54de49e1c3a368454b0019f8,F,2109,Kim Cattrall,6,15 minutes
23,15 minutes,19,MUGGER IN CENTRAL PARK,54de49f5925141195a001bac,M,58563,David Alan Grier,7,15 minutes
24,15 minutes,20,HERSELF,54de4a51c3a3684558001e25,F,46393,Roseanne Barr,8,15 minutes
25,15 minutes,21,BOY IN BURNING BUILDING,54de4a6ec3a3684558001e27,M,21028,Anton Yelchin,9,15 minutes
26,15 minutes,22,DETECTIVE PAULIE,54de4acbc3a3684555001c46,M,58535,Paul Herman,10,15 minutes
27,15 minutes,23,NICOLETTE KARAS,5628a25dc3a368488c001482,F,25972,Melina Kanakaredes,11,15 minutes
28,15 minutes,24,EMIL SLOVAK,5628a28d9251414ccd001263,M,10841,Karel Roden,12,15 minutes
29,15 minutes,25,OLEG RAZGUL,5628a2b4c3a3684883001248,M,77351,Oleg Taktarov,13,15 minutes
30,15 minutes,26,BOBBY KORFIN,5628a2e39251414cdd0012b6,M,141484,John DiResta,14,15 minutes
31,15 minutes,27,DEPUTY CHIEF FIRE MARSHAL DECLAN DUFFY,5628a3299251414ccd00127b,M,51551,James Handy,15,15 minutes
32,15 minutes,28,DETECTIVE TOMMY CULLEN,5628a356c3a36848870012d3,M,66145,Darius McCrary,16,15 minutes
33,15 minutes,29,FIREMAN,56e2101cc3a3686ff500075b,M,1588715,Brantley Bush,17,15 minutes
34,15 minutes,32,HIMSELF,578133eac3a3685925001ae6,M,1353429,Bruce Cutler,18,15 minutes
35,15 minutes,33,MILOS KARLOVA,57816fc9c3a36875ce000657,M,86151,Vladimir Mashkov,19,15 minutes
36,15 minutes,34,HONEY THE HOOKER,57816fd19251417bc1000657,F,1188584,Noelle Evans,20,15 minutes
37,15 minutes,35,MAGGIE,57816fd89251417c2800066f,F,6044,Mindy Marin,21,15 minutes
38,15 minutes,36,UNIQUE,57816fe7c3a3685922002ff9,M,18272,Gabriel Casseus,22,15 minutes
39,15 minutes,37,POLICE CAPTAIN,57816fefc3a368138700205e,M,1217553,Joe Lisi,23,15 minutes
